"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2016 00:00 - 01.01.2016 01:00 (CET/CEST)","283","n/e","n/e","n/e","1020","1268","n/e","n/e","n/e","n/e","197","2","561","197","n/e","n/e","35","n/e","0","n/e","n/e","1849"
"Portugal (PT)","01.01.2016 01:00 - 01.01.2016 02:00 (CET/CEST)","282","n/e","n/e","n/e","687","1180","n/e","n/e","n/e","n/e","128","2","577","74","n/e","n/e","35","n/e","0","n/e","n/e","1869"
"Portugal (PT)","01.01.2016 02:00 - 01.01.2016 03:00 (CET/CEST)","287","n/e","n/e","n/e","462","1180","n/e","n/e","n/e","n/e","1","48","374","104","n/e","n/e","35","n/e","0","n/e","n/e","2131"
"Portugal (PT)","01.01.2016 03:00 - 01.01.2016 04:00 (CET/CEST)","286","n/e","n/e","n/e","339","1180","n/e","n/e","n/e","n/e","0","170","371","98","n/e","n/e","35","n/e","0","n/e","n/e","2227"
"Portugal (PT)","01.01.2016 04:00 - 01.01.2016 05:00 (CET/CEST)","283","n/e","n/e","n/e","338","1056","n/e","n/e","n/e","n/e","0","120","311","69","n/e","n/e","34","n/e","0","n/e","n/e","2172"
"Portugal (PT)","01.01.2016 05:00 - 01.01.2016 06:00 (CET/CEST)","284","n/e","n/e","n/e","338","735","n/e","n/e","n/e","n/e","0","632","237","68","n/e","n/e","33","n/e","0","n/e","n/e","2533"
"Portugal (PT)","01.01.2016 06:00 - 01.01.2016 07:00 (CET/CEST)","276","n/e","n/e","n/e","336","549","n/e","n/e","n/e","n/e","0","643","401","68","n/e","n/e","31","n/e","0","n/e","n/e","2668"
"Portugal (PT)","01.01.2016 07:00 - 01.01.2016 08:00 (CET/CEST)","271","n/e","n/e","n/e","334","361","n/e","n/e","n/e","n/e","0","675","499","67","n/e","n/e","31","n/e","0","n/e","n/e","2904"
"Portugal (PT)","01.01.2016 08:00 - 01.01.2016 09:00 (CET/CEST)","272","n/e","n/e","n/e","334","360","n/e","n/e","n/e","n/e","0","907","438","69","n/e","n/e","32","n/e","0","n/e","n/e","3203"
"Portugal (PT)","01.01.2016 09:00 - 01.01.2016 10:00 (CET/CEST)","272","n/e","n/e","n/e","333","360","n/e","n/e","n/e","n/e","0","992","559","80","n/e","n/e","32","n/e","12","n/e","n/e","3241"
