Wind On,Solar
513.0,0.0
513.0,0.0
513.0,0.0
513.0,0.0
513.0,0.0
522.5,0.0
532.0,0.0
541.5,0.0
551.0,0.0
562.5,0.0
574.0,0.0
585.5,0.0
597.0,0.0
624.25,0.0
651.5,0.0
678.75,0.0
706.0,0.0
709.75,0.0
713.5,0.0
717.25,0.0
721.0,0.0
732.0,0.0
743.0,0.0
754.0,0.0
765.0,0.0
755.25,0.0
745.5,0.0
735.75,0.0
726.0,0.0
761.0,0.0
796.0,0.0
831.0,0.0
866.0,0.0
860.75,12.75
855.5,25.5
850.25,38.25
845.0,51.0
834.0,82.5
823.0,114.0
812.0,145.5
801.0,177.0
795.0,196.0
789.0,215.0
783.0,234.0
777.0,253.0
738.5,259.5
700.0,266.0
661.5,272.5
623.0,279.0
555.25,281.75
487.5,284.5
419.75,287.25
352.0,290.0
318.5,288.25
285.0,286.5
251.5,284.75
218.0,283.0
196.5,276.75
175.0,270.5
153.5,264.25
132.0,258.0
121.25,242.5
110.5,227.0
99.75,211.5
89.0,196.0
95.25,165.75
101.5,135.5
107.75,105.25
114.0,75.0
127.25,56.75
140.5,38.5
153.75,20.25
167.0,2.0
181.0,1.5
195.0,1.0
209.0,0.5
223.0,0.0
235.75,0.0
248.5,0.0
261.25,0.0
274.0,0.0
265.5,0.0
257.0,0.0
248.5,0.0
240.0,0.0
236.5,0.0
233.0,0.0
229.5,0.0
226.0,0.0
216.5,0.0
207.0,0.0
197.5,0.0
188.0,0.0
178.75,0.0
169.5,0.0
160.25,0.0
151.0,0.0
149.5,0.0
148.0,0.0
146.5,0.0
145.0,0.0
155.75,0.0
166.5,0.0
177.25,0.0
188.0,0.0
202.0,0.0
216.0,0.0
230.0,0.0
244.0,0.0
255.25,0.0
266.5,0.0
277.75,0.0
289.0,0.0
292.5,0.0
296.0,0.0
299.5,0.0
303.0,0.0
313.25,0.0
323.5,0.0
333.75,0.0
344.0,0.0
362.0,0.0
380.0,0.0
398.0,0.0
416.0,0.0
429.75,0.0
443.5,0.0
457.25,0.0
471.0,0.0
479.25,13.0
487.5,26.0
495.75,39.0
504.0,52.0
500.25,83.5
496.5,115.0
492.75,146.5
489.0,178.0
458.5,196.0
428.0,214.0
397.5,232.0
367.0,250.0
319.75,256.5
272.5,263.0
225.25,269.5
178.0,276.0
152.5,277.75
127.0,279.5
101.5,281.25
76.0,283.0
63.25,279.25
50.5,275.5
37.75,271.75
25.0,268.0
24.25,262.5
23.5,257.0
22.75,251.5
22.0,246.0
27.25,231.75
32.5,217.5
37.75,203.25
43.0,189.0
58.75,160.25
74.5,131.5
90.25,102.75
106.0,74.0
138.25,56.25
170.5,38.5
202.75,20.75
235.0,3.0
244.75,2.25
254.5,1.5
264.25,0.75
274.0,0.0
274.75,0.0
275.5,0.0
276.25,0.0
277.0,0.0
266.5,0.0
256.0,0.0
245.5,0.0
235.0,0.0
245.0,0.0
255.0,0.0
265.0,0.0
275.0,0.0
274.75,0.0
274.5,0.0
274.25,0.0
274.0,0.0
276.75,0.0
279.5,0.0
282.25,0.0
285.0,0.0
280.0,0.0
275.0,0.0
270.0,0.0
265.0,0.0
265.25,0.0
265.5,0.0
265.75,0.0
266.0,0.0
264.75,0.0
263.5,0.0
262.25,0.0
261.0,0.0
255.0,0.0
249.0,0.0
243.0,0.0
237.0,0.0
230.0,0.0
223.0,0.0
216.0,0.0
209.0,0.0
202.25,0.0
195.5,0.0
188.75,0.0
182.0,0.0
178.25,0.0
174.5,0.0
170.75,0.0
167.0,0.0
172.25,0.0
177.5,0.0
182.75,0.0
188.0,0.0
188.0,12.75
188.0,25.5
188.0,38.25
188.0,51.0
182.0,82.25
176.0,113.5
170.0,144.75
164.0,176.0
155.5,195.0
147.0,214.0
138.5,233.0
130.0,252.0
117.25,259.75
104.5,267.5
91.75,275.25
79.0,283.0
68.75,284.5
58.5,286.0
48.25,287.5
38.0,289.0
37.5,287.25
37.0,285.5
36.5,283.75
36.0,282.0
37.5,275.75
39.0,269.5
40.5,263.25
42.0,257.0
41.75,242.5
41.5,228.0
41.25,213.5
41.0,199.0
43.0,169.25
45.0,139.5
47.0,109.75
49.0,80.0
53.0,60.5
57.0,41.0
61.0,21.5
65.0,2.0
73.0,1.5
81.0,1.0
89.0,0.5
97.0,0.0
95.5,0.0
94.0,0.0
92.5,0.0
91.0,0.0
89.25,0.0
87.5,0.0
85.75,0.0
84.0,0.0
85.0,0.0
86.0,0.0
87.0,0.0
88.0,0.0
91.5,0.0
95.0,0.0
98.5,0.0
102.0,0.0
104.75,0.0
107.5,0.0
110.25,0.0
113.0,0.0
113.75,0.0
114.5,0.0
115.25,0.0
116.0,0.0
117.25,0.0
118.5,0.0
119.75,0.0
121.0,0.0
122.75,0.0
124.5,0.0
126.25,0.0
128.0,0.0
122.5,0.0
117.0,0.0
111.5,0.0
106.0,0.0
104.5,0.0
103.0,0.0
101.5,0.0
100.0,0.0
98.0,0.0
96.0,0.0
94.0,0.0
92.0,0.0
91.0,0.0
90.0,0.0
89.0,0.0
88.0,0.0
90.5,0.0
93.0,0.0
95.5,0.0
98.0,0.0
104.75,12.25
111.5,24.5
118.25,36.75
125.0,49.0
131.5,79.5
138.0,110.0
144.5,140.5
151.0,171.0
155.0,189.25
159.0,207.5
163.0,225.75
167.0,244.0
164.25,253.0
161.5,262.0
158.75,271.0
156.0,280.0
149.5,282.0
143.0,284.0
136.5,286.0
130.0,288.0
130.0,286.5
130.0,285.0
130.0,283.5
130.0,282.0
127.5,275.75
125.0,269.5
122.5,263.25
120.0,257.0
129.25,242.75
138.5,228.5
147.75,214.25
157.0,200.0
