"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Portugal (PT)","01.01.2020 00:00 - 01.01.2020 01:00 (CET/CEST)","360","n/e","n/e","n/e","1083","0","n/e","n/e","n/e","n/e","332","7","2335","993","n/e","n/e","31","n/e","0","n/e","n/e","38"
"Portugal (PT)","01.01.2020 01:00 - 01.01.2020 02:00 (CET/CEST)","363","n/e","n/e","n/e","636","0","n/e","n/e","n/e","n/e","333","7","2338","976","n/e","n/e","31","n/e","0","n/e","n/e","40"
"Portugal (PT)","01.01.2020 02:00 - 01.01.2020 03:00 (CET/CEST)","359","n/e","n/e","n/e","464","0","n/e","n/e","n/e","n/e","28","82","2293","898","n/e","n/e","31","n/e","0","n/e","n/e","47"
"Portugal (PT)","01.01.2020 03:00 - 01.01.2020 04:00 (CET/CEST)","362","n/e","n/e","n/e","412","0","n/e","n/e","n/e","n/e","28","51","2297","679","n/e","n/e","32","n/e","0","n/e","n/e","65"
"Portugal (PT)","01.01.2020 04:00 - 01.01.2020 05:00 (CET/CEST)","361","n/e","n/e","n/e","414","0","n/e","n/e","n/e","n/e","111","52","2162","882","n/e","n/e","32","n/e","0","n/e","n/e","87"
"Portugal (PT)","01.01.2020 05:00 - 01.01.2020 06:00 (CET/CEST)","358","n/e","n/e","n/e","413","0","n/e","n/e","n/e","n/e","134","349","2249","937","n/e","n/e","32","n/e","0","n/e","n/e","98"
"Portugal (PT)","01.01.2020 06:00 - 01.01.2020 07:00 (CET/CEST)","360","n/e","n/e","n/e","413","0","n/e","n/e","n/e","n/e","81","351","2258","864","n/e","n/e","32","n/e","0","n/e","n/e","114"
"Portugal (PT)","01.01.2020 07:00 - 01.01.2020 08:00 (CET/CEST)","358","n/e","n/e","n/e","477","0","n/e","n/e","n/e","n/e","174","238","2249","949","n/e","n/e","31","n/e","0","n/e","n/e","104"
"Portugal (PT)","01.01.2020 08:00 - 01.01.2020 09:00 (CET/CEST)","360","n/e","n/e","n/e","710","0","n/e","n/e","n/e","n/e","175","474","2156","794","n/e","n/e","30","n/e","1","n/e","n/e","105"
"Portugal (PT)","01.01.2020 09:00 - 01.01.2020 10:00 (CET/CEST)","358","n/e","n/e","n/e","828","0","n/e","n/e","n/e","n/e","179","999","2120","806","n/e","n/e","31","n/e","61","n/e","n/e","128"
"Portugal (PT)","01.01.2020 10:00 - 01.01.2020 11:00 (CET/CEST)","357","n/e","n/e","n/e","827","0","n/e","n/e","n/e","n/e","234","389","2128","847","n/e","n/e","30","n/e","212","n/e","n/e","161"
"Portugal (PT)","01.01.2020 11:00 - 01.01.2020 12:00 (CET/CEST)","364","n/e","n/e","n/e","824","0","n/e","n/e","n/e","n/e","178","518","2156","840","n/e","n/e","31","n/e","348","n/e","n/e","164"
"Portugal (PT)","01.01.2020 12:00 - 01.01.2020 13:00 (CET/CEST)","360","n/e","n/e","n/e","822","0","n/e","n/e","n/e","n/e","140","306","2229","860","n/e","n/e","31","n/e","415","n/e","n/e","124"
"Portugal (PT)","01.01.2020 13:00 - 01.01.2020 14:00 (CET/CEST)","364","n/e","n/e","n/e","819","0","n/e","n/e","n/e","n/e","146","358","2245","846","n/e","n/e","31","n/e","448","n/e","n/e","70"
"Portugal (PT)","01.01.2020 14:00 - 01.01.2020 15:00 (CET/CEST)","364","n/e","n/e","n/e","816","0","n/e","n/e","n/e","n/e","103","463","2223","703","n/e","n/e","30","n/e","445","n/e","n/e","57"
"Portugal (PT)","01.01.2020 15:00 - 01.01.2020 16:00 (CET/CEST)","363","n/e","n/e","n/e","815","0","n/e","n/e","n/e","n/e","62","53","2218","719","n/e","n/e","29","n/e","395","n/e","n/e","57"
"Portugal (PT)","01.01.2020 16:00 - 01.01.2020 17:00 (CET/CEST)","358","n/e","n/e","n/e","995","0","n/e","n/e","n/e","n/e","296","15","2233","791","n/e","n/e","29","n/e","281","n/e","n/e","54"
"Portugal (PT)","01.01.2020 17:00 - 01.01.2020 18:00 (CET/CEST)","353","n/e","n/e","n/e","1070","0","n/e","n/e","n/e","n/e","687","5","2303","1055","n/e","n/e","31","n/e","94","n/e","n/e","68"
"Portugal (PT)","01.01.2020 18:00 - 01.01.2020 19:00 (CET/CEST)","342","n/e","n/e","n/e","1075","0","n/e","n/e","n/e","n/e","1763","1","2346","1125","n/e","n/e","26","n/e","3","n/e","n/e","79"
"Portugal (PT)","01.01.2020 19:00 - 01.01.2020 20:00 (CET/CEST)","332","n/e","n/e","n/e","1077","0","n/e","n/e","n/e","n/e","2129","0","2365","1163","n/e","n/e","12","n/e","0","n/e","n/e","62"
